CNN1D UH 0.01 0 [68.06049011569645, 72.18813029855006, 65.62368438249678, 81.85654008438819, 78.91440501043841, 99.77973568281938, 91.36842105263158, 96.94736842105263, 94.57364341085271, 83.00518134715026, 34.177215189873415, 40.39874081846799, 33.261802575107296, 35.08956796628029, 71.50480256136606, 46.09375, 98.1981981981982, 97.65258215962442]
CNN2D1 UH 0.01 0 [32.21280859979958, 33.54218716570506, 26.987212138222038, 60.86497890295358, 4.906054279749479, 36.784140969163, 38.94736842105263, 16.210526315789473, 15.503875968992247, 42.69430051813472, 24.261603375527425, 56.66316894018888, 16.201716738197426, 37.61854583772392, 15.901814300960512, 82.8125, 38.73873873873874, 15.023474178403756]
CNN2D40 UH 0.01 0 [84.14867450122985, 85.87113146449887, 82.79634267516323, 83.22784810126582, 80.06263048016702, 97.57709251101322, 85.57894736842105, 100.0, 93.7984496124031, 80.41450777202073, 69.19831223628692, 77.12486883525709, 94.31330472103005, 73.55110642781875, 86.12593383137673, 76.953125, 100.0, 90.14084507042254]
CNN3D UH 0.01 0 [85.3147490206796, 87.25706911179978, 84.05483681864379, 81.75105485232066, 87.47390396659708, 91.18942731277532, 77.15789473684211, 100.0, 100.0, 65.80310880829016, 76.89873417721519, 90.45120671563484, 68.24034334763948, 93.15068493150685, 99.78655282817502, 76.953125, 100.0, 100.0]
CNN2D1 UH 0.05 0 [28.413956454404666, 32.41456355024438, 23.3007907996018, 25.421940928270043, 7.724425887265135, 48.458149779735685, 53.68421052631579, 1.0526315789473684, 27.131782945736433, 44.870466321243526, 34.07172995780591, 50.577124868835256, 6.974248927038626, 32.03371970495258, 2.3479188900747063, 82.03125, 52.702702702702695, 17.136150234741784]
CNN2D40 UH 0.05 0 [82.13537396374238, 83.9876092062776, 80.60975295359482, 75.9493670886076, 84.75991649269311, 81.27753303964758, 78.52631578947368, 98.3157894736842, 96.12403100775194, 70.36269430051814, 72.46835443037975, 87.5131164742917, 62.231759656652365, 93.4668071654373, 86.55282817502669, 72.265625, 100.0, 100.0]
CNN3D UH 0.05 0 [85.48783820716042, 87.71992649321503, 84.2458118315763, 79.64135021097046, 84.55114822546973, 92.07048458149781, 78.94736842105263, 100.0, 100.0, 70.36269430051814, 73.10126582278481, 84.36516264428123, 82.5107296137339, 89.35721812434141, 98.07897545357524, 82.8125, 100.0, 100.0]
CNN2D1 UH 0.1 0 [32.3039081716316, 32.977124711535936, 26.7571878737365, 49.789029535864984, 13.048016701461378, 33.480176211453745, 24.526315789473685, 12.105263157894736, 25.581395348837212, 67.87564766839378, 17.827004219409282, 34.41762854144806, 18.4549356223176, 43.41412012644889, 41.30202774813234, 64.453125, 38.288288288288285, 10.093896713615024]
CNN2D40 UH 0.1 0 [76.81515896875285, 79.12180064085385, 74.9123126462919, 82.80590717299579, 80.1670146137787, 71.36563876651982, 68.21052631578948, 100.0, 92.24806201550388, 78.75647668393782, 69.62025316455697, 91.2906610703043, 48.497854077253216, 57.85036880927292, 82.2838847385272, 87.109375, 97.74774774774775, 78.87323943661971]
CNN3D UH 0.1 0 [82.90061036713128, 84.26058116118017, 81.42902997675436, 81.32911392405063, 80.79331941544885, 88.32599118942731, 77.36842105263158, 100.0, 100.0, 68.70466321243524, 78.69198312236287, 75.86568730325288, 60.08583690987125, 96.94415173867229, 100.0, 56.25, 99.54954954954955, 100.0]
CNN2D1 UH 0.15 0 [26.12735720142115, 29.834300115240257, 20.832770568908533, 36.60337552742617, 3.4446764091858038, 38.1057268722467, 6.421052631578947, 8.421052631578947, 24.031007751937985, 65.80310880829016, 33.33333333333333, 39.24449108079748, 1.9313304721030045, 33.40358271865121, 6.7235859124866595, 92.1875, 30.630630630630627, 27.230046948356808]
CNN2D40 UH 0.15 0 [75.24824633324224, 76.44272580012965, 73.13511819490532, 81.54008438818565, 69.8329853862213, 61.45374449339207, 64.73684210526316, 99.68421052631578, 90.69767441860465, 77.2020725388601, 74.78902953586498, 63.16894018887723, 57.61802575107296, 88.40885142255004, 74.17289220917823, 58.59375, 100.0, 84.74178403755869]
